号牌号码,罚款金额,记分值,违法时间,违法行为,违法地点,是否处理,缴款状态,号牌种类
浙H3347N,200,3,2020-04-02 18:02,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速10%未达20%的,兰贺线115公里705米清湖街道清泉小区路段,已处理,已交款,小型汽车
浙H3347N,100,3,2020-04-02 17:14,违反禁令标志指示,江山市区环城西路环城西路的雪泉街路口,已处理,已交款,小型汽车
浙H3347N,50,0,2019-05-01 17:36,不按规定临时停车影响其他车辆和行人通行的,江山市区云宾路菜市场门口（违停）,已处理,已交款,小型汽车
浙H3347N,200,3,2019-01-07 10:45,机动车逆向行驶的,鹿溪北路-迎宾大道西口,已处理,已交款,小型汽车
浙H3347N,100,3,2018-12-30 14:58,机动车违反禁令标志指示的,江山市站前大道礼贤路口西口,已处理,已交款,小型汽车
浙H3347N,150,6,2018-08-31 14:46,驾驶机动车违反道路交通信号灯通行的,朝阳路-富足山村路口西口,已处理,已交款,小型汽车
浙H3347N,200,6,2018-08-21 07:56,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,常山天马路(香樟嘉苑路段),已处理,已交款,小型汽车
浙H3347N,100,3,2018-06-06 07:33,机动车违反禁令标志指示的,江山市区环城西路(环城西路雪泉街路口),已处理,已交款,小型汽车
浙H3347N,100,2,2018-03-21 07:46,不按所需行进方向驶入导向车道的,江山市站前大道礼贤路口北口,已处理,已交款,小型汽车
浙H9681Z,100,2,2019-10-10 11:22,不按所需行进方向驶入导向车道的,白马路-大桥路路口西口,已处理,已交款,小型汽车
浙H9681Z,200,3,2019-10-02 17:37,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速10%未达20%的,山深线1820KM200M（205国道贺村镇诗坊村路段）,已处理,已交款,小型汽车
浙H9681Z,50,0,2019-09-10 13:34,"在高速公路或城市快速路以外的道路上行驶时,驾驶人未按规定使用安全带的",江山市墩贺线0000KM200M江山大桥东端,已处理,已交款,小型汽车
浙H9681Z,50,0,2019-08-22 10:14,不按规定临时停车影响其他车辆和行人通行的,江山市区航埠山路(航埠山路南二街口至南三街口路段),已处理,已交款,小型汽车
浙H9681Z,150,6,2019-05-09 09:50,驾驶机动车违反道路交通信号灯通行的,礼贤路-站前大道进站口南口,已处理,已交款,小型汽车
浙H9681Z,50,0,2019-02-17 14:30,不按规定临时停车影响其他车辆和行人通行的,江山市新塘边镇新东街-外环路（违停）,已处理,已交款,小型汽车
浙H9681Z,50,0,2019-01-09 10:50,不按规定临时停车影响其他车辆和行人通行的,江山市区县河东路(县河东路云宾路口至中山路路口路段)人行道,已处理,已交款,小型汽车
浙H9681Z,200,3,2018-10-18 07:59,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速10%未达20%的,兰贺线0110KM600M（315省道源口大桥）,已处理,已交款,小型汽车
浙H9681Z,50,0,2018-05-11 08:43,不按规定临时停车影响其他车辆和行人通行的,江山市区南门路(南门路南一街路口至南门路南市街路口路段),已处理,已交款,小型汽车
浙H3347F,200,6,2019-10-19 19:41,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,兰贺线0110KM950M（315省道源口村路段）,已处理,已交款,小型汽车
浙H3347F,50,0,2019-05-21 10:21,不按规定临时停车影响其他车辆和行人通行的,江山市清湖街道清泉路的唯书路路口（违停）,已处理,已交款,小型汽车
浙H3347F,50,0,2019-03-21 10:21,不按规定临时停车影响其他车辆和行人通行的,江山市区中山路(中山路解放路路口至鹿溪路路口路段),已处理,已交款,小型汽车
浙H3347F,50,0,2019-02-12 14:04,不按规定临时停车影响其他车辆和行人通行的,江山市区礼贤路(火车站广场),已处理,已交款,小型汽车
浙H3347F,50,0,2018-11-25 14:12,不按规定临时停车影响其他车辆和行人通行的,江山市区南门路(南门路南一街路口至南门路南市街路口路段),已处理,已交款,小型汽车
浙H3347F,150,0,2018-10-26 09:42,不按规定停放影响其他车辆和行人通行的,江山市区礼贤路(火车站广场),已处理,已交款,小型汽车
浙H3347F,100,3,2018-05-15 08:58,机动车违反禁令标志指示的,锦绣府园南侧道路西口(单行线),已处理,已交款,小型汽车
浙H9092Z,200,6,2020-01-07 18:16,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,江山市墩贺线16公里590米贺村镇丰益村村委路段,已处理,已交款,小型汽车
浙H9092Z,100,0,2020-01-07 18:06,机动车不在机动车道内行驶的,创新路的山海路路口,已处理,已交款,小型汽车
浙H9092Z,150,6,2019-12-16 10:00,驾驶机动车违反道路交通信号灯通行的,江山市区鹿溪北路与迎宾大道路口东口,已处理,已交款,小型汽车
浙H9092Z,100,2,2019-12-14 09:12,不按所需行进方向驶入导向车道的,江山市区虎山路与虎山三街路口南口,已处理,已交款,小型汽车
浙H9092Z,100,2,2019-11-22 14:09,不按所需行进方向驶入导向车道的,江山市区北泉街与礼贤路路口西口,已处理,已交款,小型汽车
浙H9092Z,100,2,2019-09-08 08:06,不按所需行进方向驶入导向车道的,205国道江山市峡口镇迎宾路路口南口,已处理,已交款,小型汽车
浙H9092Z,50,0,2019-08-08 12:11,"在高速公路或城市快速路以外的道路上行驶时,驾驶人未按规定使用安全带的",江山市区环城西路(环城西路云宾路路口至中山路路口路段),已处理,已交款,小型汽车
浙H9092Z,100,2,2019-07-15 08:22,不按所需行进方向驶入导向车道的,凝秀北路-文教路南口,已处理,已交款,小型汽车
浙H9092Z,50,0,2019-05-03 11:43,不按规定临时停车影响其他车辆和行人通行的,江山市坛石镇保康路与江青线路口（违停）,已处理,已交款,小型汽车
浙H9092Z,50,0,2018-06-17 16:26,不按规定临时停车影响其他车辆和行人通行的,江山市区鹿溪路(鹿溪路中山路路口至云宾路路口路段)人行道,已处理,已交款,小型汽车
浙H7823Z,200,3,2020-04-05 21:05,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速10%未达20%的,山深线1785公里300米,已处理,已交款,小型汽车
浙H7823Z,150,6,2020-01-29 14:01,驾驶机动车违反道路交通信号灯通行的,西安路与汽车北站东边通道路口,已处理,已交款,小型汽车
浙H7823Z,150,6,2019-09-08 10:43,驾驶机动车违反道路交通信号灯通行的,江山市凝秀路-北环路西口,已处理,已交款,小型汽车
浙H7823Z,50,0,2019-07-27 15:13,"在高速公路或城市快速路以外的道路上行驶时,驾驶人未按规定使用安全带的",江山市区江东大道(江东大道北关路口至北环路口路段),已处理,已交款,小型汽车
浙H7823Z,200,6,2019-07-26 17:26,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,江溪线(S221)0009KM400M（泉家垄村路口）,已处理,已交款,小型汽车
浙H7823Z,100,3,2019-02-28 15:02,机动车违反禁令标志指示的,江山市区江津路单行道1东口,已处理,已交款,小型汽车
浙H7823Z,150,0,2018-12-17 19:52,不按规定停放影响其他车辆和行人通行的,江山市区南市街(南市街航埠山路口至解放南路口路段),已处理,已交款,小型汽车
浙H7823Z,200,3,2018-09-25 22:24,机动车逆向行驶的,鹿溪北路-北环路南口,已处理,已交款,小型汽车
浙H7823Z,100,3,2018-07-13 14:25,机动车违反禁令标志指示的,江山市站前大道礼贤路口西口,已处理,已交款,小型汽车
浙H7823Z,200,3,2018-03-04 13:02,机动车逆向行驶的,环城西路-城中路西口,已处理,已交款,小型汽车
浙H7395Z,150,6,2019-09-13 11:09,驾驶机动车违反道路交通信号灯通行的,江山市区江滨南路与江电路路口南口,已处理,已交款,小型汽车
浙H7395Z,100,3,2019-09-05 16:31,机动车违反禁令标志指示的,大桥路-实验小学门口南口,已处理,已交款,小型汽车
浙H7395Z,150,0,2019-09-03 15:10,不按规定停放影响其他车辆和行人通行的,常山朝阳路文教路路口-文峰东路路口,已处理,已交款,小型汽车
浙H7395Z,200,6,2019-03-10 09:47,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,兰贺线0110KM950M（315省道源口村路段）,已处理,已交款,小型汽车
浙H7395Z,100,3,2018-11-10 15:47,人行道不停车让行的,江山市区鹿溪路(鹿溪路书院路路口至北环路路口路段),已处理,已交款,小型汽车
浙H7395Z,200,6,2018-06-03 10:08,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,物流大道(沙金大道上草埔村路段),已处理,已交款,小型汽车
浙H7395Z,100,3,2018-05-17 16:13,机动车违反禁止标线指示的,大成路-墩贺线南口,已处理,已交款,小型汽车
浙H7395Z,100,3,2018-04-04 06:59,机动车违反禁止标线指示的,大成路-墩贺线东口,已处理,已交款,小型汽车
浙H7139Y,50,0,2020-01-02 10:05,不按规定临时停车影响其他车辆和行人通行的,江山市区虎山三街(虎山三街的东岳路路口至虎山路路口路段),已处理,已交款,小型汽车
浙H7139Y,200,6,2019-11-03 23:22,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,江山市墩贺线0016KM680M（贺村镇丰益村委路段）,已处理,已交款,小型汽车
浙H7139Y,100,3,2019-06-09 18:17,机动车违反禁令标志指示的,民声路江城北路,已处理,已交款,小型汽车
浙H7139Y,100,3,2019-04-19 19:29,机动车违反禁令标志指示的,江山市站前大道礼贤路口西口,已处理,已交款,小型汽车
浙H7139Y,100,3,2018-08-05 13:19,机动车违反禁令标志指示的,云宾路-民声路,已处理,已交款,小型汽车
浙H7139Y,50,0,2018-06-27 16:26,不按规定临时停车影响其他车辆和行人通行的,江山市区城中路(城中路鹿溪路路口至江滨路路口路段),已处理,已交款,小型汽车
浙H7139Y,50,0,2018-06-17 15:01,"在高速公路或城市快速路以外的道路上行驶时,驾驶人未按规定使用安全带的",山深线1806KM600M,已处理,已交款,小型汽车
浙H7139Y,150,6,2018-04-17 11:41,驾驶机动车违反道路交通信号灯通行的,环城西路-城中路北口,已处理,已交款,小型汽车
浙H7139Y,200,3,2018-04-06 09:51,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速10%未达20%的,山深线1812KM150M（205国道祝家路口）,已处理,已交款,小型汽车
浙H7139Y,50,0,2018-03-18 14:36,不按规定临时停车影响其他车辆和行人通行的,贺康路单行线,已处理,已交款,小型汽车
浙H9197Z,50,0,2019-03-15 10:51,不按规定临时停车影响其他车辆和行人通行的,江山市区礼贤路(火车站广场),已处理,已交款,小型汽车
浙H9197Z,100,2,2018-09-20 13:46,不按所需行进方向驶入导向车道的,滨江南路-经四路路口南口,已处理,已交款,小型汽车
浙H3347G,50,0,2020-01-16 15:19,不按规定临时停车影响其他车辆和行人通行的,江山市区礼贤路(火车站广场),已处理,已交款,小型汽车
浙H3347G,50,0,2020-01-11 17:14,不按规定临时停车影响其他车辆和行人通行的,江山市区礼贤路(火车站广场),已处理,已交款,小型汽车
浙H3347G,100,2,2020-01-11 15:40,不按所需行进方向驶入导向车道的,站前大道凝秀北路路口,已处理,已交款,小型汽车
浙H3347G,100,0,2020-01-02 11:14,机动车不在机动车道内行驶的,开源路的创业路路口,已处理,已交款,小型汽车
浙H3347G,50,0,2019-04-10 17:34,不按规定临时停车影响其他车辆和行人通行的,江山市四都镇（违停）,已处理,已交款,小型汽车
浙H3347G,50,0,2019-04-06 13:44,不按规定临时停车影响其他车辆和行人通行的,江山市区南市街(南市街解放南路口至南门路口路段),已处理,已交款,小型汽车
浙H3347G,200,3,2019-03-25 09:58,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速10%未达20%的,山深线1795KM800M(205国道石排山路段),已处理,已交款,小型汽车
浙H3347G,50,0,2018-05-25 16:12,不按规定临时停车影响其他车辆和行人通行的,江山市区南门路(南门路南一街路口至南门路南市街路口路段),已处理,已交款,小型汽车
浙H3347G,200,6,2018-02-18 11:09,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,双江线0023KM800M（四都上峰村路口）,已处理,已交款,小型汽车
浙H3347V,100,2,2020-03-25 15:06,不按所需行进方向驶入导向车道的,凝秀路环城西路路口,已处理,已交款,小型汽车
浙H3347V,200,6,2020-01-17 22:25,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,江山市墩贺线16公里590米贺村镇丰益村村委路段,已处理,已交款,小型汽车
浙H3347V,100,3,2019-11-13 10:01,机动车违反禁令标志指示的,鹿溪路新华路,已处理,已交款,小型汽车
浙H3347V,150,6,2019-10-15 08:01,驾驶机动车违反道路交通信号灯通行的,江山市站前大道礼贤路口西口,已处理,已交款,小型汽车
浙H3347V,100,3,2019-07-28 12:27,机动车违反禁令标志指示的,民声路新华路,已处理,已交款,小型汽车
浙H3347V,100,2,2018-05-31 07:59,不按所需行进方向驶入导向车道的,江山市站前大道礼贤路口西口,已处理,已交款,小型汽车
浙H3347V,50,0,2018-05-28 16:50,"在高速公路或城市快速路以外的道路上行驶时,驾驶人未按规定使用安全带的",江山市花峡线0010KM050M,已处理,已交款,小型汽车
浙H3347V,150,6,2018-05-02 15:11,驾驶机动车违反道路交通信号灯通行的,凝秀南路-北泉街东口,已处理,已交款,小型汽车
浙H3347V,100,2,2018-04-08 14:30,不按所需行进方向驶入导向车道的,江山市西山路-南二街东口,已处理,已交款,小型汽车
浙H3347U,50,0,2019-11-02 08:45,驾驶机动车行驶时以手持方式使用电话的,江山市区东岳路-虎山三街路口西口,已处理,已交款,小型汽车
浙H3347U,150,0,2018-12-03 09:37,不按规定停放影响其他车辆和行人通行的,江山市区礼贤路(火车站广场),已处理,已交款,小型汽车
浙H3347U,50,0,2018-10-25 09:35,不按规定临时停车影响其他车辆和行人通行的,江山市区中山路(中山路鹿溪路口至江滨路路口路段)人行道,已处理,已交款,小型汽车
浙H3347U,100,3,2018-04-11 08:07,机动车违反禁止标线指示的,大成路-墩贺线东口,已处理,已交款,小型汽车
浙H3347U,50,0,2018-03-08 15:07,不按规定临时停车影响其他车辆和行人通行的,江山市区南市街(南市街解放南路口至南门路口路段),已处理,已交款,小型汽车
浙H3347U,150,0,2018-02-23 19:42,不按规定停放影响其他车辆和行人通行的,衢州市火车站荷花中路,已处理,已交款,小型汽车
浙H3347U,100,3,2018-01-31 14:13,机动车违反禁止标线指示的,朝阳路-文教路路口北口,已处理,已交款,小型汽车
浙H3347Q,50,0,2019-10-05 15:55,不按规定临时停车影响其他车辆和行人通行的,江山市区东岳路-虎山三街路口,已处理,已交款,小型汽车
浙H3347Q,100,3,2019-05-06 18:31,机动车违反禁令标志指示的,江山市站前大道礼贤路口南口,已处理,已交款,小型汽车
浙H3347Q,50,0,2019-03-04 09:29,不按规定临时停车影响其他车辆和行人通行的,江山市区白渡路(白渡路鹿溪路路口至凝秀路路口路段)城北幼儿园西侧道路,已处理,已交款,小型汽车
浙H3347Q,100,3,2018-02-06 14:25,机动车违反禁令标志指示的,江山市站前大道礼贤路口西口,已处理,已交款,小型汽车
浙H3347S,150,3,2019-11-30 10:54,人行道不停车让行的,三清山大道玉华路口,已处理,已交款,小型汽车
浙H3347S,150,6,2019-10-21 14:08,驾驶机动车违反道路交通信号灯通行的,205国道江山市峡口镇迎宾路路口北口,已处理,已交款,小型汽车
浙H3347S,50,0,2019-03-04 14:05,不按规定临时停车影响其他车辆和行人通行的,江山市区东岳路(东岳路虎山二街路口至虎山三街路口路段),已处理,已交款,小型汽车
浙H3347S,100,3,2018-04-23 19:32,机动车违反禁令标志指示的,民声路江城北路,已处理,已交款,小型汽车
浙H3347T,100,2,2019-08-30 08:53,不按所需行进方向驶入导向车道的,凝秀南路-江城北路东口,已处理,已交款,小型汽车
浙H3347T,150,6,2019-04-27 16:53,驾驶机动车违反道路交通信号灯通行的,205国道-双桥路北口,已处理,已交款,小型汽车
浙H3347T,50,0,2019-01-08 08:01,不按规定临时停车影响其他车辆和行人通行的,清湖街道清泉路-老水张线违停,已处理,已交款,小型汽车
浙H3347T,150,0,2018-12-31 14:50,不按规定停放影响其他车辆和行人通行的,江山市区站前大道(站前大道鹿溪北路路口至凝秀北路路口路段),已处理,已交款,小型汽车
浙H3347T,100,3,2018-03-29 11:19,人行道不停车让行的,*文峰西路新华书店门口,已处理,已交款,小型汽车
浙H3347T,150,3,2018-02-01 15:32,逆向行驶,天桂路,已处理,已交款,小型汽车
浙H3347E,50,0,2020-01-21 15:59,不按规定临时停车影响其他车辆和行人通行的,江山市区礼贤路(火车站广场),已处理,已交款,小型汽车
浙H3347E,200,3,2019-10-23 15:36,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速10%未达20%的,（京台高速）江山市江郎山出口连接线0001KM700M(清湖街道东儒村路段),已处理,已交款,小型汽车
浙H3347E,50,0,2019-05-25 14:02,不按规定临时停车影响其他车辆和行人通行的,江山市新塘边镇新宾路-中街路（违停）,已处理,已交款,小型汽车
浙H3347E,100,3,2018-08-07 15:53,机动车违反禁止标线指示的,江东大道-北关路北口,已处理,已交款,小型汽车
浙H3347E,100,3,2018-02-26 08:54,机动车违反禁止标线指示的,大成路-墩贺线西口,已处理,已交款,小型汽车
浙H3347A,150,6,2020-03-28 14:50,驾驶机动车违反道路交通信号灯通行的,沪瑞线472公里450米,已处理,已交款,小型汽车
浙H3347A,100,2,2019-10-08 14:27,不按所需行进方向驶入导向车道的,江山市区环城西路与西山路路口北口,已处理,已交款,小型汽车
浙H3347A,50,0,2019-08-19 09:27,不按规定临时停车影响其他车辆和行人通行的,江山市区城中路(城中路鹿溪路路口至江滨路路口路段),已处理,已交款,小型汽车
浙H3347A,100,3,2019-06-09 10:10,人行道不停车让行的,江山市区东岳路(东岳路虎山二街路口),已处理,已交款,小型汽车
浙H3347A,100,2,2019-04-08 07:17,不按所需行进方向驶入导向车道的,江山市礼贤路-文教路北口,已处理,已交款,小型汽车
浙H3347A,50,0,2019-02-03 12:09,不按规定临时停车影响其他车辆和行人通行的,定阳南路（老扁食府门口）违停抓拍,已处理,已交款,小型汽车
浙H3347A,100,3,2019-01-25 08:46,机动车违反禁令标志指示的,江山市站前大道礼贤路口南口,已处理,已交款,小型汽车
浙H3347A,50,0,2019-01-24 13:43,不按规定临时停车影响其他车辆和行人通行的,江山市区礼贤路(火车站广场),已处理,已交款,小型汽车
浙H3347A,50,0,2018-12-17 10:01,不按规定临时停车影响其他车辆和行人通行的,江山市区民声路(民声路健身路路口至云宾路口路段),已处理,已交款,小型汽车
浙H3347A,100,3,2018-09-29 11:08,机动车违反禁止标线指示的,天马路-柚香路路口东口,已处理,已交款,小型汽车
浙H3347Z,100,3,2020-02-01 10:20,机动车违反禁令标志指示的,（CQ）杨家巷-天宁巷路口西口,已处理,已交款,小型汽车
浙H3347Z,150,6,2019-05-12 05:48,驾驶机动车违反道路交通信号灯通行的,礼贤路-文苑路北口,已处理,已交款,小型汽车
浙H3347Z,100,2,2019-02-23 21:52,不按所需行进方向驶入导向车道的,江山市站前大道礼贤路口西口,已处理,已交款,小型汽车
浙H3347Z,50,0,2018-12-17 17:56,不按规定临时停车影响其他车辆和行人通行的,文峰西路（英爵咖啡店门口）违停抓拍,已处理,已交款,小型汽车
浙H3347Z,50,0,2018-11-25 14:40,不按规定临时停车影响其他车辆和行人通行的,贺村镇牵牛街-中心南街,已处理,已交款,小型汽车
浙H3347Z,50,0,2018-07-29 13:48,"在高速公路或城市快速路以外的道路上行驶时,驾驶人未按规定使用安全带的",江山市花峡线0010KM050M,已处理,已交款,小型汽车
浙H3347Z,50,0,2018-06-18 16:29,不按规定临时停车影响其他车辆和行人通行的,江山市区城中路(城中路解放路路口至鹿溪路路口路段),已处理,已交款,小型汽车
浙H3347Y,50,0,2019-11-27 13:21,驾驶机动车行驶时以手持方式使用电话的,江山市区北关路与江东大道路口（卡口）北口,已处理,已交款,小型汽车
浙H3347Y,100,3,2019-07-28 13:34,机动车违反禁令标志指示的,（CQ）蛟池街-上街路口单行线抓拍东口,已处理,已交款,小型汽车
浙H3347Y,200,6,2018-02-22 22:04,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,山深线1812KM150M(205国道祝家路口）,已处理,已交款,小型汽车
浙H3347Y,150,6,2018-02-13 17:10,驾驶机动车违反道路交通信号灯通行的,江山市站前大道凝秀北路口北口,已处理,已交款,小型汽车
浙H3347X,50,0,2020-01-14 10:41,不按规定临时停车影响其他车辆和行人通行的,江山市区中山路(中山路环城西路路口至解放路路口路段),已处理,已交款,小型汽车
浙H3347X,50,0,2019-08-20 12:41,"在高速公路或城市快速路以外的道路上行驶时,驾驶人未按规定使用安全带的",江山市坛贺线1791KM620M,已处理,已交款,小型汽车
浙H3347X,50,0,2019-07-31 13:56,"在高速公路或城市快速路以外的道路上行驶时,驾驶人未按规定使用安全带的",山深线1806KM600M,已处理,已交款,小型汽车
浙H3347X,200,6,2019-06-21 13:46,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,上红线0003桩800m,已处理,已交款,小型汽车
浙H3347X,200,3,2018-10-17 13:59,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速10%未达20%的,兰贺线0110KM600M（315省道源口大桥）,已处理,已交款,小型汽车
浙H3347X,50,0,2018-10-11 19:50,不按规定临时停车影响其他车辆和行人通行的,文峰西路（兰兰窗帘城门口）违停抓拍,已处理,已交款,小型汽车
浙H3347X,50,0,2018-08-30 10:31,不按规定临时停车影响其他车辆和行人通行的,江山市区城中路(城中路环城西路路口至解放路路口路段),已处理,已交款,小型汽车
浙H3347P,100,3,2019-08-10 13:36,机动车违反禁令标志指示的,北关路民声路,已处理,已交款,小型汽车
浙H3347P,50,0,2019-04-29 09:29,不按规定临时停车影响其他车辆和行人通行的,江山市区南二街(南二街南门路口至西山路口路段),已处理,已交款,小型汽车
浙H3347P,50,0,2019-02-10 08:33,不按规定临时停车影响其他车辆和行人通行的,江山市区礼贤路(火车站广场),已处理,已交款,小型汽车
浙H3347P,50,0,2018-12-28 10:23,不按规定临时停车影响其他车辆和行人通行的,江山市区南门路(南门路南一街路口至南门路南市街路口路段),已处理,已交款,小型汽车
浙H3347P,50,0,2018-06-03 10:02,不按规定临时停车影响其他车辆和行人通行的,江山市区南门路(南门路南一街路口至南门路南市街路口路段),已处理,已交款,小型汽车
浙H3347P,100,3,2018-03-31 11:44,机动车违反禁令标志指示的,云宾路-民声路,已处理,已交款,小型汽车
浙H3347P,100,3,2018-02-20 17:51,机动车违反禁令标志指示的,江滨路新华路,已处理,已交款,小型汽车
浙H3347R,50,0,2019-10-15 12:06,不按规定临时停车影响其他车辆和行人通行的,江山市区凝秀路(凝秀路北环路路口至白渡路路口路段),已处理,已交款,小型汽车
浙H3347R,50,0,2019-09-04 10:11,不按规定临时停车影响其他车辆和行人通行的,江山市区民声路(民声路云宾路口至中山路路口路段),已处理,已交款,小型汽车
浙H3347R,100,3,2019-01-12 19:11,机动车违反禁令标志指示的,荷花东路-荷二路西口,已处理,已交款,小型汽车
浙H3347R,50,0,2018-10-18 09:48,不按规定临时停车影响其他车辆和行人通行的,常山柚香路(东河北街-天马路),已处理,已交款,小型汽车
浙H3347R,100,2,2018-10-16 00:47,不按所需行进方向驶入导向车道的,天马路-江滨路路口西口,已处理,已交款,小型汽车
浙H3347R,200,3,2018-10-10 12:58,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速10%未达20%的,文教西路(徐村路段),已处理,已交款,小型汽车
浙H3347R,50,0,2018-06-25 08:25,不按规定临时停车影响其他车辆和行人通行的,江山市区东岳路(东岳路虎山二街路口至虎山三街路口路段),已处理,已交款,小型汽车
浙H3347M,150,6,2019-05-13 16:37,驾驶机动车违反道路交通信号灯通行的,凝秀北路-迎宾大道东口,已处理,已交款,小型汽车
浙H3347M,150,0,2018-09-11 09:55,不按规定停放影响其他车辆和行人通行的,江山市区礼贤路(火车站广场),已处理,已交款,小型汽车
浙H3347M,100,3,2018-02-23 14:37,人行道不停车让行的,江山市区环城西路(环城西路城中路路口至雪泉街路口路段),已处理,已交款,小型汽车
浙H3347K,200,6,2020-01-02 21:40,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,江山市墩贺线16公里590米贺村镇丰益村村委路段,已处理,已交款,小型汽车
浙H3347K,50,0,2019-09-18 16:18,不按规定临时停车影响其他车辆和行人通行的,江山市区航埠山路(航埠山路南二街口至南三街口路段),已处理,已交款,小型汽车
浙H3347K,50,0,2019-07-30 08:40,不按规定临时停车影响其他车辆和行人通行的,江山市新塘边镇新宾路-新湖街（违停）,已处理,已交款,小型汽车
浙H3347K,50,0,2019-05-03 12:12,不按规定临时停车影响其他车辆和行人通行的,江山市保安乡慕仙街与仙霞路（违停）,已处理,已交款,小型汽车
浙H3347K,100,3,2018-04-30 18:42,机动车违反禁令标志指示的,清莲里南口,已处理,已交款,小型汽车
浙H3347K,100,3,2018-03-25 09:29,机动车违反禁止标线指示的,大成路-墩贺线西口,已处理,已交款,小型汽车
浙H3347B,50,0,2020-01-18 14:38,不按规定临时停车影响其他车辆和行人通行的,江山市区礼贤路(火车站广场),已处理,已交款,小型汽车
浙H3347B,50,0,2020-01-16 21:28,不按规定临时停车影响其他车辆和行人通行的,江山市区礼贤路(火车站广场),已处理,已交款,小型汽车
浙H3347B,200,6,2019-12-10 14:49,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,江山市墩贺线0016KM680M（贺村镇丰益村委路段）,已处理,已交款,小型汽车
浙H3347B,100,2,2019-08-25 07:46,不按所需行进方向驶入导向车道的,江山市区环城西路与西山路路口北口,已处理,已交款,小型汽车
浙H3347B,50,0,2018-11-05 10:50,不按规定临时停车影响其他车辆和行人通行的,江山市区北泉街(北泉街安居路路口至凝秀路路口路段)人行道,已处理,已交款,小型汽车
浙H3347B,50,0,2018-11-02 17:27,不按规定临时停车影响其他车辆和行人通行的,*白马路渡口路路口路段,已处理,已交款,小型汽车
浙H3347B,200,6,2018-08-07 10:18,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,上红线0012KM720M,已处理,已交款,小型汽车
浙H3347B,50,0,2018-07-18 18:10,"在高速公路或城市快速路以外的道路上行驶时,驾驶人未按规定使用安全带的",山深线1806KM600M,已处理,已交款,小型汽车
浙H3347B,150,6,2018-07-13 13:12,驾驶机动车违反道路交通信号灯通行的,江滨南路与江电路交叉口南口,已处理,已交款,小型汽车
浙H3347B,50,0,2018-06-08 08:35,不按规定临时停车影响其他车辆和行人通行的,江山市区鹿溪路(鹿溪路中山路路口至云宾路路口路段)人行道,已处理,已交款,小型汽车
浙H3779Z,50,0,2019-10-01 07:49,不按规定临时停车影响其他车辆和行人通行的,江山市长台镇亭桥街与嵩山路路口（违停）,已处理,已交款,小型汽车
浙H3779Z,100,3,2019-08-29 16:49,机动车违反禁令标志指示的,江山市区环城西路(环城西路的雪泉街路口),已处理,已交款,小型汽车
浙H3779Z,200,6,2019-06-17 07:12,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,山深线1812KM150M(205国道祝路口）,已处理,已交款,小型汽车
浙H3779Z,100,2,2019-06-09 14:33,不按所需行进方向驶入导向车道的,朝阳路-文峰东路路口西口,已处理,已交款,小型汽车
浙H3779Z,50,0,2019-03-03 09:49,不按规定临时停车影响其他车辆和行人通行的,江山市张村乡（违停）,已处理,已交款,小型汽车
